Data,Peso (kg),% Gordura,Massa muscular (kg),% Água,Massa óssea (kg),Gordura visceral,Proteína,Gordura subcutânea
2026-07-01,84.2,21.5,35.1,52.8,3.1,11,16.2,18.5
2026-07-08,83.6,21.0,35.4,53.2,3.1,10,16.4,18.0
2026-07-15,83.1,20.6,35.6,53.5,3.2,10,16.5,17.6
2026-07-22,82.5,20.1,35.9,53.9,3.2,9,16.7,17.2
2026-07-29,82.0,19.7,36.1,54.2,3.2,9,16.8,16.9
2026-08-05,81.4,19.3,36.3,54.5,3.2,8,17.0,16.5
2026-08-12,81.0,18.9,36.5,54.8,3.2,8,17.1,16.2
2026-08-19,80.6,18.6,36.7,55.0,3.3,8,17.2,15.9
2026-08-26,80.2,18.3,36.9,55.3,3.3,7,17.3,15.6
2026-09-02,79.8,18.0,37.0,55.5,3.3,7,17.4,15.3
2026-09-09,79.5,17.7,37.2,55.8,3.3,7,17.5,15.0
2026-09-16,79.1,17.4,37.3,56.0,3.3,6,17.6,14.8
